"subject","time"
1,78
1,133
1,183
1,233
1,283
1,399
1,458
1,518
1,569
1,636
1,752
1,846
1,896
1,1043
1,1135
1,1196
1,1246
2,60
2,132
2,182
2,275
2,414
2,505
2,564
2,617
2,751
2,806
2,883
2,1030
2,1085
2,1143
2,1193
2,1243
2,1294
3,76
3,143
3,196
3,261
3,412
3,463
3,563
3,622
3,751
3,806
3,899
3,1030
3,1095
3,1154
3,1251
4,61
4,121
4,189
4,241
4,399
4,463
4,513
4,563
4,636
4,782
4,832
4,882
4,1030
4,1084
4,1134
4,1190
4,1240
4,1295
5,110
5,164
5,214
5,264
5,400
5,450
5,509
5,559
5,623
5,782
5,845
5,895
5,1030
5,1107
5,1157
5,1218
5,1268
6,60
6,137
6,283
6,443
6,510
6,585
6,636
6,788
6,871
6,1030
6,1125
6,1205
6,1266
7,60
7,116
7,166
7,264
7,434
7,493
7,585
7,636
7,752
7,852
7,906
7,1059
7,1109
7,1159
7,1228
7,1281
8,88
8,142
8,221
8,281
8,435
8,533
8,583
8,635
8,751
8,801
8,885
8,1031
8,1081
8,1147
8,1227
8,1277
